,Material,Created By,Created On,Client lvl,Mat. Type,Industry,Matl Group,Unit,PV key,Material Description,Purchase Order Text,catalog
11,555050774,LAVAMA,43042,,ZSC2,P,Z015,NOS,,"DB-WAX (30 m x 0.53mm, 0.25µ)- P. No: 12","DB-WAX (30 m x 0.53mm, 0.25µ)- P. No: 125-7031  ",
12,555127628,PARAVE,45469,,ZSC2,P,Z022,NOS,ZM00,"CELLTITER-GLO,CAT#G9682, 3D CELL VIABILI","CELLTITER-GLO,CAT#G9682, 3D CELL VIABILITY ASSAY 10x10ML,PROMEGA","CAT#G9682, 3D CELL VIABILITY ASSAY 10x10ML,PROMEGA"
13,555116919,KHATVI,44895,,ZSC2,P,Z022,NOS,ZM00,"Zorbax XDB C18 (150  x 4.6) mm, 3.5 µ (P","Zorbax XDB C18 (150  x 4.6) mm, 3.5 µ (Part No. : 963967-902)",P
14,555013838,BATCH_MM,41748,,ZSC2,P,Z022,NOS,,"VIALS-8mL, transparent glass vial with c","VIALS-8mL, transparent glass vial with cap",
15,555108870,NANDAKUK,44587,,ZSC2,P,Z022,NOS,ZM00,PE/Cyanine7 anti-human CD3,"PE/Cyanine7 anti-human CD3,CAT#317334",CAT#317334
16,555107534,NANDAKUK,44532,,ZSC2,P,Z022,NOS,ZM00,"Brilliant Violet 570™ anti-human CD3,CAT","Brilliant Violet 570™ anti-human CD3,CAT# 300436",CAT# 300436
17,555004128,BATCH_MM,41748,,ZSC2,P,Z022,NOS,,DUST BIN WITH SWING LID 80 L-,DUST BIN WITH SWING LID 80 L,
18,555116125,KHATVI,44867,,ZSC2,P,Z022,NOS,,"Inertsil ODS-2 HPLC Column,250X4.6mm,5µm","INERTSIL ODS-2 HPLC COLUMN,250X4.6MM,5µM,PART NO:5020-01128",P
19,555044415,LAVAMA,42800,,ZSC2,P,Z013,ML,,"N,N-DIMETHYLACETAMIDE","N,N-DIMETHYLACETAMIDE",
20,555009756,BATCH_MM,41748,,ZSC2,P,Z022,ML,,"POTASSIUM HYDROXIDE, 45 WT SOLUTION & (1","POTASSIUM HYDROXIDE, 45 WT SOLUTION & (1L X 2)-45 WT. % SOLUTION, Sigma cat# 417661",cat# 417661
21,555102180,MANJUL,44316,,ZSC2,P,Z022,NOS,,"TGF-34 CONICAL FLASKS TAPER JOINT, 500 M","TGF-34 CONICAL FLASKS TAPER JOINT, 500 ML",
22,555102179,MANJUL,44316,,ZSC2,P,Z022,NOS,,"TGF-34 CONICAL FLASKS TAPER JOINT, 250 M","TGF-34 CONICAL FLASKS TAPER JOINT, 250 ML",
23,555102178,MANJUL,44316,,ZSC2,P,Z022,NOS,,"TGF-34 CONICAL FLASKS TAPER JOINT, 100 M","TGF-34 CONICAL FLASKS TAPER JOINT, 100 ML",
24,555106134,SHRUHO,44468,,ZSC2,P,Z022,NOS,,lyophilizer flask 600ml,lyophilizer flask 600ml,
25,555102161,MANJUL,44316,,ZSC2,P,Z022,NOS,,TGRP-3 BUCHNER FILTER CONE FOR 250 ML FI,TGRP-3 BUCHNER FILTER CONE FOR 250 ML FILTRATION FLASKS,
26,555129744,MADHKAK,45695,,ZSC2,P,Z022,NOS,ZM00,Aspirator Bottle Outlet Fortubing 250ML,Aspirator Bottle Outlet Fortubing 250ML cat.no - B1220021,cat.no - B1220021
27,555129747,MADHKAK,45695,,ZSC2,P,Z022,NOS,ZM00,Aspirator Bottle Outlet Fortubing,Aspirator Bottle Outlet Fortubing 1000ML B1220029,
28,555129749,PARAVE,45695,,ZSC2,P,Z022,NOS,ZM00,"STAT3 (124H6),CAT#9139, MOUSE MAB, CST","STAT3 (124H6),CAT#9139, MOUSE MAB, CST","CAT#9139, MOUSE MAB, CST"
29,555102160,MANJUL,44316,,ZSC2,P,Z022,NOS,,TGRP-3 BUCHNER FILTER CONE FOR 100 ML FI,TGRP-3 BUCHNER FILTER CONE FOR 100 ML FILTRATION FLASKS,
30,555102199,MANJUL,44316,,ZSC2,P,Z022,NOS,,"BUCHNER FUNNELS FOR FILTRATION, 50MM","BUCHNER FUNNELS FOR FILTRATION, 50MM",
31,555102198,MANJUL,44316,,ZSC2,P,Z022,NOS,,"BUCHNER FUNNELS FOR FILTRATION, 35MM","BUCHNER FUNNELS FOR FILTRATION, 35MM",
32,555129751,PARAVE,45695,,ZSC2,P,Z022,NOS,ZM00,"HAT SUPPLEMENT,CAT#21060017, (50X) 100ML","HAT SUPPLEMENT,CAT#21060017, (50X) 100ML,THERMO","CAT#21060017, (50X) 100ML,THERMO"
33,555129758,HIMAPR,45698,,ZSC2,P,Z022,NOS,ZM00,Micro white in blue colour 40cm,Micro white in blue colour 40cm TTOBB00745MB,
34,555120974,MANJUL,45070,,ZSC2,P,Z022,NOS,,TEFLON STOPCOCK 2 WAY STOPCOCK 19,TEFLON STOPCOCK 2 WAY STOPCOCK 19,
35,555056996,INFAJE,43320,,ZSC2,P,Z022,NOS,,"ICE TRAY 9000 ML,PC#T525140,TARSONS","ICE TRAY 9000 ML,PC#T525140,TARSONS",
36,555082829,SHRUHO,43550,,ZSC2,P,Z022,PAC,ZM00,20L Wide mouth glass bottle cat no:11139,20L Wide mouth glass bottle cat no:1113951,cat no:1113951
37,555111595,MANJUL,44692,,ZSC2,P,Z022,NOS,,SINGLE NECK RBS WITH B-24 JOINT (FOR HEA,R.B.FLASK FOR HEATING BLOCK 500ML 24,
38,555111594,MANJUL,44692,,ZSC2,P,Z022,NOS,,SINGLE NECK RBS WITH B-24 JOINT (FOR HEA,R.B.FLASK FOR HEATING BLOCK 250ML 24,
39,555111591,MANJUL,44692,,ZSC2,P,Z022,NOS,,SINGLE NECK RBS WITH B-19 JOINT (FOR HEA,SINGLE NECK RBS WITH B-19 JOINT (FOR HEATING BLOCK)25 ML,
40,555124222,VINAKUMA,45183,,ZSC2,P,Z022,NOS,ZM00,"Aspergillus Niger, 56049","	Aspergillus Niger, 56049 CAT log 56049",CAT log 56049
41,555124223,VINAKUMA,45183,,ZSC2,P,Z022,NOS,ZM00,"56050, Candida albicans","	Candida albicans cat log 56050,","cat log 56050,"
42,555129694,HIMAPR,45692,,ZSC2,P,Z022,NOS,ZM00,"Carboy 10 Liters With Cap,SBPL-10-CBPP-S","Carboy 10 Liters With Cap, PP, Sterile cat.no:SBPL-10-CBPP-S",cat.no:SBPL-10-CBPP-S
43,555124226,VINAKUMA,45183,,ZSC2,P,Z022,NOS,ZM00,Staphylococcus aureus CAT LOG 56055,Staphylococcus aureus CAT LOG 56055 CAT LOG 56055,CAT LOG 56055 CAT LOG 56055
44,555129644,MANJUL,45691,,ZSC2,P,Z022,NOS,,"HYDROGEN PEROXIDE,PN#H1222-300ML, (35% I","HYDROGEN PEROXIDE,PN#H1222-300ML, (35% IN WATER)CAS# 7722-84-1,TCI",
45,555129648,MANJUL,45691,,ZSC2,P,Z022,NOS,,"HYDROGEN PEROXIDE SOLUTION,PN#Q1875, 30%","HYDROGEN PEROXIDE SOLUTION,PN#Q1875, 30% (SQ), QUALIGENS",
46,555124227,VINAKUMA,45183,,ZSC2,P,Z022,NOS,ZM00,Bacilus Subtilis CAT LOG 56143,	Bacilus Subtilis CAT LOG 56143 CAT LOG 56143,CAT LOG 56143 CAT LOG 56143
47,555124228,VINAKUMA,45183,,ZSC2,P,Z022,NOS,ZM00,Pseudomonas aeruginosa CAT LOG 56144,	Pseudomonas aeruginosa CAT LOG 56144 CAT LOG 56144,CAT LOG 56144 CAT LOG 56144
48,555100686,KISARA,44271,,ZSC2,P,Z022,NOS,ZM00,Ecosolvent Vinyl with matte lamination 5,Ecosolvent Vinyl with matte lamination 5mm Sunboard - S,
49,555123517,VINAKUMA,45156,,ZSC2,P,Z022,PAC,ZM00,HPLC Caps,HPLC Caps,
50,555102584,MANJHAR,44329,,ZSC2,P,Z022,NOS,,"PE DONKEY ANTI-RABBIT IGG,CAT#406421 ANT","PE DONKEY ANTI-RABBIT IGG,CAT#406421 ANTIBODY,BIOLEGEND","CAT#406421 ANTIBODY,BIOLEGEND"
51,555129650,MADHKAK,45691,,ZSC2,P,Z022,NOS,ZM00,"Sample Probe, 900 ml, Two Piece Screw","Sample Probe, 900 ml, Two Piece Screw Top cat.no - 2910-0900-Q",cat.no - 2910-0900-Q
52,555056718,LAVAMA,43307,,ZSC2,P,Z022,NOS,,Vanillin usp melting point standard CAT.,Vanillin usp melting point standard CAT.NO:1711009,CAT.NO:1711009
53,555129820,PARAVE,45705,,ZSC2,P,Z022,NOS,,"MOUSE CRG-2/CXCL10,CAT#EMCXCL10, ELISA K","MOUSE CRG-2/CXCL10,CAT#EMCXCL10, ELISA KIT,INVITROGEN","CAT#EMCXCL10, ELISA KIT,INVITROGEN"
54,555129821,PARAVE,45705,,ZSC2,P,Z022,NOS,,"IRON(III) CHLORIDE-6-HYDRATE,CAT#31232-2","IRON(III) CHLORIDE-6-HYDRATE,CAT#31232-250GM,MERCK","CAT#31232-250GM,MERCK"
55,555129823,PARAVE,45705,,ZSC2,P,Z022,NOS,,"SCOPOLAMINE,CAT#NET636250UC, METHYL CHLO","SCOPOLAMINE,CAT#NET636250UC, METHYL CHLORIDE [N_x0002_METHYL-3H,REVVITY","CAT#NET636250UC, METHYL CHLORIDE [N_x0002_METHYL-3H,REVVITY"
56,555129824,PARAVE,45705,,ZSC2,P,Z022,NOS,,"FILTERMAT B - GF/B,CAT#1450-521, 50/PK,R","FILTERMAT B - GF/B,CAT#1450-521, 50/PK,REVVITY","CAT#1450-521, 50/PK,REVVITY"
57,555013335,BATCH_MM,41748,,ZSC2,P,Z022,ML,,TRIFLUOROACETIC ACID-CAT NO:T6508,TRIFLUOROACETIC ACID-CAT NO:T6508,CAT NO:T6508
58,555119757,MANJUL,45021,,ZSC2,P,Z022,NOS,,"PEG/ION HT,CAT#HR2-139,(1 ML, DEEP WELL","PEG/ION HT,CAT#HR2-139,(1 ML, DEEP WELL BLOCK FORMAT)HAMPTON RESEARCH","CAT#HR2-139,(1 ML, DEEP WELL BLOCK FORMAT)HAMPTON RESEARCH"
59,555016990,BATCH_MM,41760,X,ZSC2,P,Z022,NOS,,LOG BOOKSENTRY EXIT LOGBOOK,LOG BOOKSENTRY EXIT LOGBOOK,
60,555023783,LAKSGOP,42006,X,ZSC2,P,Z022,NOS,,pPACKH1 HIV Lentivector Packaging Kit  2,pPACKH1 HIV Lentivector Packaging Kit 200 ul -CAT NO-LV500A-1-SYSTEM BIOSCIENCE,CAT NO-LV500A-1-SYSTEM BIOSCIENCE
61,555129760,PARAVE,45698,,ZSC2,P,Z022,NOS,,"OLIGONUCLEOTIDES,CAT#BBS-OLIGO-004, SCAL","OLIGONUCLEOTIDES,CAT#BBS-OLIGO-004, SCALE: 25NM,11-60MERS; DESALTED PURIFICATION, YIELD: 3 OD, 1TUBE; BARCODE BIOSCIENCES","CAT#BBS-OLIGO-004, SCALE: 25NM,11-60MERS; DESALTED PURIFICATION, YIELD: 3 OD, 1TUBE; BARCODE BIOSCIENCES"
62,555044732,LAVAMA,42810,X,ZSC2,P,Z022,NOS,,O-Glycosidase,O-Glycosidase cat.no:P0733S,cat.no:P0733S
63,555129761,PARAVE,45698,,ZSC2,P,Z022,NOS,,"OLIGONUCLEOTIDES,CAT#BBS-OLIGO-006; SCAL","OLIGONUCLEOTIDES,CAT#BBS-OLIGO-006; SCALE: 50NM,11-60MERS; DESALTED PURIFICATION, YIELD: 5 OD, 1TUBE; BARCODE BIOSCIENCES","CAT#BBS-OLIGO-006; SCALE: 50NM,11-60MERS; DESALTED PURIFICATION, YIELD: 5 OD, 1TUBE; BARCODE BIOSCIENCES"
64,555129762,PARAVE,45698,,ZSC2,P,Z022,NOS,,"OLIGONUCLEOTIDES,CAT#BBS-OLIGO-007; SCAL","OLIGONUCLEOTIDES,CAT#BBS-OLIGO-007; SCALE: 100NM,11-90MERS; DESALTED PURIFICATION, YIELD: 8 OD, 1TUBE; BARCODE BIOSCIENCES","CAT#BBS-OLIGO-007; SCALE: 100NM,11-90MERS; DESALTED PURIFICATION, YIELD: 8 OD, 1TUBE; BARCODE BIOSCIENCES"
65,555129763,PARAVE,45698,,ZSC2,P,Z022,NOS,,"OLIGONUCLEOTIDES,CAT#BBS-OLIGO-009;  SCA","OLIGONUCLEOTIDES,CAT#BBS-OLIGO-009; SCALE: 100NM (1UMOLE),11-150MERS; DESALTED PURIFICATION, YIELD: 50 OD, 1TUBE;BARCODE BIOSCIENCE","CAT#BBS-OLIGO-009; SCALE: 100NM (1UMOLE),11-150MERS; DESALTED PURIFICATION, YIELD: 50 OD, 1TUBE;BARCODE BIOSCIENCE"
66,555086878,SHRUHO,43724,X,ZSC2,P,Z022,NOS,,Sterile serological pipettes (2 ml),Sterile serological pipettes (2 ml) cat no:30127706,cat no:30127706
67,555129764,PARAVE,45698,,ZSC2,P,Z022,NOS,,HPLC PURIFICATION;CAT#BBS-OLIGO-010; BAR,HPLC PURIFICATION;CAT#BBS-OLIGO-010; BARCODE BIOSCIENCES,CATION;CAT#BBS-OLIGO-010; BARCODE BIOSCIENCES
68,555129765,PARAVE,45698,,ZSC2,P,Z022,NOS,,PAGE PURIFICATION;CAT#BBS-OLIGO-011; BAR,PAGE PURIFICATION;CAT#BBS-OLIGO-011; BARCODE BIOSCIENCES,CATION;CAT#BBS-OLIGO-011; BARCODE BIOSCIENCES
69,555088470,SHRUHO,43790,X,ZSC2,P,Z022,NOS,,PPCO Centrifuge Bottle 500mLw/SealingClo,PPCO Centrifuge Bottle 500mLw/SealingClosure CAT NO:3141-0500,CAT NO:3141-0500
70,555129766,PARAVE,45698,,ZSC2,P,Z022,NOS,,NEW 4MM THICK ACP SHEET WITH SILVER GREY,NEW 4MM THICK ACP SHEET WITH SILVER GREY COLOUR,
71,555129767,PARAVE,45698,,ZSC2,P,Z022,NOS,,2D ACRYLIC BBRC LETTERS,2D ACRYLIC BBRC LETTERS,
72,555129768,PARAVE,45698,,ZSC2,P,Z022,NOS,,VINYL STICKERS,VINYL STICKERS,
73,555092597,SHRUHO,43973,X,ZSC2,P,Z022,NOS,,Human tonsil normal FFPE tissue block,Human tonsil normal FFPE tissue block cat no:AMS6022,cat no:AMS6022
74,555129769,PARAVE,45698,,ZSC2,P,Z022,FT2,,STEPPING STONE,STEPPING STONE,
75,555101594,SHRUHO,44303,X,ZSC2,P,Z022,NOS,,GMP certificate boards,,
76,555105389,MANJUL,44438,X,ZSC2,P,Z022,NOS,,"PELO ANTIBODY,PN# 10582-1-AP,(PROTEINTEC","PELO ANTIBODY,PN# 10582-1-AP,(PROTEINTECH)",
77,555129770,PARAVE,45698,,ZSC2,P,Z022,U,,M-SAND,M-SAND,
78,555129771,PARAVE,45698,,ZSC2,P,Z022,NOS,,ACALYPHA TWISTED PLANTS,ACALYPHA TWISTED PLANTS,
79,555097545,SHRUHO,44154,,ZSC2,P,Z022,NOS,,Brilliant Violet 650 anti-mouse CD69 Ant,Brilliant Violet 650 anti-mouse CD69 Antibody cat no:104541,cat no:104541
80,555115054,SHWSAL,44816,X,ZSC2,P,Z022,NOS,,STAUROSPORINE FROM STREPTOMYCES SP,STAUROSPORINE FROM STREPTOMYCES SP-S5921-1MG.sigma,
81,555085279,MANJUL,43656,,ZSC2,P,Z022,NOS,,"SODIUM BICARBONATE 7.5% SOLUTION,CAT# 25","SODIUM BICARBONATE 7.5% SOLUTION,CAT# 25080094, THERMO","CAT# 25080094, THERMO"
82,555123999,PRATHVS,45176,,ZSC2,P,Z022,NOS,,CellEvent™ Caspase-3/7 Detection Reagent,"CellEvent™ Caspase-3/7 Detection Reagents,CAT#C10432",CAT#C10432
83,555115200,SHWSAL,44820,X,ZSC2,P,Z022,NOS,,Alexa Fluor® 647-conjugated AffiniPure G,"Alexa Fluor® 647-conjugated AffiniPure Goat Anti-Mouse IgG, Light Chain* Specific, Jackson immunoresearch,  Product code #: 115-605-174",P
84,555116011,SHWSAL,44861,X,ZSC2,P,Z022,NOS,,"Luna Omega 3um PS c18 100A, LC column  5","Luna Omega 3um PS c18 100A, LC column  50X4.6 mm Ea CAT:-00B-4758-E0",CAT:-00B-4758-E0
85,555117167,SARAVAS,44904,X,ZSC2,P,Z022,NOS,,QUANTI-Blue™ Solution Size: 5 ml (100X),QUANTI-Blue™ Solution Size: 5 ml (100X) Cat no.rep-qbs,Cat no.rep-qbs
86,555118246,PRATHVS,44958,X,ZSC2,P,Z022,NOS,,"2D Tube Rack side coded SAFE®,extern al","2D Tube Rack side coded SAFE®,external thread,4000µl,cap blue,pure,slide lock,rack material Polycarbonate",
87,555118092,PRATHVS,44951,,ZSC2,P,Z022,NOS,,PC/Cyanine7 anti-mouse CD25,"APC/Cyanine7 anti-mouse CD25,cat#101918",cat#101918
88,555118302,PRATHVS,44959,X,ZSC2,P,Z022,NOS,,SAFE® READ Single Code DMSTSC,SAFE® READ Single Code DMSTSC,
89,555028272,SHRUHO,42185,,ZSC2,P,Z022,NOS,,SINKERS 8MM - (6/SET)SPRING SINKER WITH,SINKERS 8MM - (6/SET)SPRING SINKER WITH PUNCHED GUIDE PLATE (TWO COMPONENTS) DESIGN,
90,555118346,RACHANGA,44960,X,ZSC2,P,Z022,NOS,,Pierce TM ESI Negative ion,Pierce TM ESI Negative ion Thermo (LC-HRMS)88324,
91,555118347,RACHANGA,44960,X,ZSC2,P,Z022,NOS,,Pierce LTQ Velos ESI Positive ion,Pierce LTQ Velos ESI Positive ion Thermo (LC-HRMS)88323,
92,555118348,RACHANGA,44960,X,ZSC2,P,Z022,NOS,,Pierce triple quadrupole calibration sol,"Pierce triple quadrupole calibration solution, extended mass range Thermo (LC-MS/MS 88340",
93,555118537,RACHANGA,44970,X,ZSC2,P,Z022,NOS,,NUCLEOSIL C18 5µ GUARD COLUMN,NUCLEOSIL C18 5µ GUARD COLUMN ITEM NO:721074.30,
94,555118942,PRATHVS,44981,X,ZSC2,P,Z022,NOS,,SILVER STAINING KIT Cat. No: ML123-1KT B,SILVER STAINING KIT Cat. No: ML123-1KT Brand : HIMEDIA,Cat. No: ML123-1KT Brand : HIMEDIA
95,555083322,SHRUHO,43570,,ZSC2,P,Z022,MG,ZM00,DII;DIIC18(3),"DiI’; DiIC18(3) (1,1’-dioctadecyl-3,3,3’,3’-tetramethylindocarbocyanine perchlorate) CAT NO:D282",CAT NO:D282
96,555014492,BATCH_MM,41748,,ZSC2,P,Z022,NOS,ZM00,SODIUM CITRATE DIHYDRATE,"SODIUM CITRATE DIHYDRATE CAT NO.:W302600-1KG-K, SIGMA","CAT NO.:W302600-1KG-K, SIGMA"
97,555097549,SHRUHO,44154,,ZSC2,P,Z022,NOS,ZM00,Brilliant Violet 421 anti-mouse FOXP3 An,Brilliant Violet 421 anti-mouse FOXP3 Antibody cat no:126419,cat no:126419
98,555118995,RACHANGA,44984,X,ZSC2,P,Z022,G,,"2,4-dihydroxyacetophenone","	2,4-dihydroxyacetophenone extrapure std Cas no.89-84-9",
99,555119152,RACHANGA,44989,X,ZSC2,P,Z022,NOS,,"Zorbax Extend-C18 (50x4.6) mm,5Î¼m NA Pa","	Zorbax Extend-C18 (50x4.6) mm,5Î1/4m NA Part No:746450-902",P
100,555008242,BATCH_MM,41748,,ZSC2,P,Z022,PAC,,NATURAL FEL D 1 (250 UG)-CAT NO:-NA-FD1-,NATURAL FEL D 1 (250 ug)-CAT NO:-NA-FD1-1(250µg),CAT NO:-NA-FD1-1(250µg)
101,555080728,LAVAMA,43467,,ZSC2,P,Z022,ML,,Rhodium 1000ppm for ICP,Rhodium 1000ppm for ICP cat.no:CGRH1,cat.no:CGRH1
102,555119161,PRATHVS,44991,X,ZSC2,P,Z022,NOS,,Myc-Tag (9B11) Mouse mAb,"Myc-Tag (9B11) Mouse mAb, 2276S",
103,555129654,PARAVE,45691,,ZSC2,P,Z022,NOS,,"HUMAN LIVER CYTOSOL,CAT#X008098,BIOIVT","HUMAN LIVER CYTOSOL,CAT#X008098,BIOIVT","CAT#X008098,BIOIVT"
104,555119162,PRATHVS,44991,X,ZSC2,P,Z022,NOS,,GAPDH Antibody (0411),"GAPDH Antibody (0411), SC-47724",
105,555119223,PRATHVS,44993,X,ZSC2,P,Z022,NOS,,ATCC-CRL-2065 MLTC-1; Leydig Cell Tumor;,ATCC-CRL-2065 MLTC-1; Leydig Cell Tumor; Mouse (Mus musculus),
106,555119261,PRATHVS,44995,X,ZSC2,P,Z022,NOS,,DYNAMAG-5 SPEC-07681,"DYNAMAG-5 SPEC-07681,cat#12303D",cat#12303D
107,555129655,PARAVE,45691,,ZSC2,P,Z022,NOS,,"MONKEY LIVER CYTOSOL,CAT#M003025,BIOIVT","MONKEY LIVER CYTOSOL,CAT#M003025,BIOIVT","CAT#M003025,BIOIVT"
108,555119271,PRATHVS,44995,X,ZSC2,P,Z022,NOS,,HBS1L Polyclonal antibody//  150ul,"HBS1L Polyclonal antibody// 150ul, 10359-1-AP",
109,555129656,PARAVE,45691,,ZSC2,P,Z022,NOS,,"MONKEY LIVER S9 ,CAT#M003012,BIOIVT","MONKEY LIVER S9 ,CAT#M003012,BIOIVT","CAT#M003012,BIOIVT"
110,555119272,PRATHVS,44995,X,ZSC2,P,Z022,NOS,,MYC-tag Polyclonal antibody//  150ul,"MYC-tag Polyclonal antibody// 150ul, 16286-1-AP",
111,555129657,PARAVE,45691,,ZSC2,P,Z022,NOS,,"KIDNEY MICROSOMES,CAT#X03803,HUMAN ,BIOI","KIDNEY MICROSOMES,CAT#X03803,HUMAN ,BIOIVT","CAT#X03803,HUMAN ,BIOIVT"
112,555129658,PARAVE,45691,,ZSC2,P,Z022,NOS,,"MOUSE CRYOPLATEABLE,CAT#M005052-P, HEPAT","MOUSE CRYOPLATEABLE,CAT#M005052-P, HEPATOCYTES,BIOIVT","CAT#M005052-P, HEPATOCYTES,BIOIVT"
113,555119303,PRATHVS,44998,X,ZSC2,P,Z022,NOS,,"Finntip Filter Micro 50µL, Sterile,pk/10","Finntip Filter Micro 50µL, Sterile,pk/10x384Racked,Cat#94052060",Cat#94052060
114,555119320,PRATHVS,44999,X,ZSC2,P,Z022,NOS,,WESTERN BLOT BOX 2 7/8 X 2 X 1 1/4 PK5,"WESTERN BLOT BOX 2 7/8 X 2 X 1 1/4 PK5,cat#490016-638",cat#490016-638
115,555129659,PARAVE,45691,,ZSC2,P,Z022,NOS,,"PERCP-CY5.5,CAT#563637,RAT ANTI-MOUSE CD","PERCP-CY5.5,CAT#563637,RAT ANTI-MOUSE CD103- 50UG,BD","CAT#563637,RAT ANTI-MOUSE CD103- 50UG,BD"
116,555129660,PARAVE,45691,,ZSC2,P,Z022,NOS,,"PE/CYANINE5,CAT#313560,ANTI-HUMAN/MOUSE/","PE/CYANINE5,CAT#313560,ANTI-HUMAN/MOUSE/RAT CD278 (ICOS) ANTIBODY- 100TESTS,BIOLEGEND","CAT#313560,ANTI-HUMAN/MOUSE/RAT CD278 (ICOS) ANTIBODY- 100TESTS,BIOLEGEND"
117,555128210,PARAVE,45517,,ZSC2,P,Z022,NOS,,"POWERUP SYBR,CAT#A25742, GREEN MASTER MI","POWERUP SYBR,CAT#A25742, GREEN MASTER MIX FOR QPCR,THERMO","CAT#A25742, GREEN MASTER MIX FOR QPCR,THERMO"
118,555119321,PRATHVS,44999,X,ZSC2,P,Z022,NOS,,WESTERN BLOT BOX 3 1/2X2 9/16X1 INCH PK5,"WESTERN BLOT BOX 3 1/2X2 9/16X1 INCH PK5,cat#490016-640",cat#490016-640
119,555129661,PARAVE,45691,,ZSC2,P,Z022,NOS,,"BUV737,CAT#741711,OPTIBUILD RAT ANTI-MOU","BUV737,CAT#741711,OPTIBUILD RAT ANTI-MOUSE CD11A,BD","CAT#741711,OPTIBUILD RAT ANTI-MOUSE CD11A,BD"
120,555119334,PRATHVS,44999,X,ZSC2,P,Z022,NOS,,2mL Class A Volumentric Flask,2mL Class A Volumentric Flask,
121,555129662,PARAVE,45691,,ZSC2,P,Z022,NOS,,"CD49B,CAT#563063,BV421,DX5,BD","CD49B,CAT#563063,BV421,DX5,BD","CAT#563063,BV421,DX5,BD"
122,555129663,PARAVE,45691,,ZSC2,P,Z022,NOS,,"CD3,CAT#562286,PE-CF594 â€“ 0.1MG,145-2C","CD3,CAT#562286,PE-CF594 â€“ 0.1MG,145-2C11,BD","CAT#562286,PE-CF594 â€“ 0.1MG,145-2C11,BD"
123,555129664,PARAVE,45691,,ZSC2,P,Z022,NOS,,"CD69,CAT#104541,BV650,H1.2F3,BIOLEGEND","CD69,CAT#104541,BV650,H1.2F3,BIOLEGEND","CAT#104541,BV650,H1.2F3,BIOLEGEND"
124,555129665,PARAVE,45691,,ZSC2,P,Z022,NOS,,"CD62 L,CAT#104411,APC â€“ 25UG,MEL-14,BI","CD62 L,CAT#104411,APC â€“ 25UG,MEL-14,BIOLEGEND","CAT#104411,APC â€“ 25UG,MEL-14,BIOLEGEND"
125,555119336,PRATHVS,44999,X,ZSC2,P,Z022,NOS,,Solubility & Stability Screen HR2-072,Solubility & Stability Screen HR2-072,
126,555006848,BATCH_MM,41748,,ZSC2,P,Z022,NOS,,L-GLUTATHIONE OXIDIZED-SIGMA CAT# G4376-,L-GLUTATHIONE OXIDIZED-sigma cat# G4376-5gm,cat# G4376-5gm
